CHR	START	END	POSCOLOR
1	170	5645	2
1	6211	7769	2
1	8766	9174	2
1	11060	11501	2
1	11910	12393	2
1	12799	13575	2
1	14117	16370	2
1	16738	19388	2
1	20908	22642	2
1	24792	26105	3
1	26373	28444	3
1	28621	32831	3
1	33158	34574	3
1	36022	39419	3
1	40320	42076	3
1	43364	44815	2
1	45342	46007	2
1	46823	48838	2
1	50475	51190	3
1	53387	54024	3
1	54704	57423	3
1	59228	61862	3
1	62035	62415	3
1	62587	66218	3
1	66950	68523	3
1	69164	70126	3
1	70440	71659	3
1	74339	76868	3
1	78203	80580	3
1	81303	82983	3
1	84071	86652	3
1	87817	89843	3
1	90489	91783	3
1	92136	93362	3
1	93508	96545	3
1	96968	97864	3
1	99047	99506	3
1	99983	100393	3
1	101234	102260	3
1	106377	108222	3
1	108973	110241	3
1	110920	112073	3
1	114075	115545	3
1	120724	123279	2
1	124078	126185	2
1	126497	128651	3
1	130358	132334	3
1	136432	137824	3
1	138101	139468	3
1	139706	141787	3
1	142315	144363	3
1	145391	146709	3
1	146830	147999	3
1	148619	153700	3
1	154388	154829	3
1	155312	156084	3
1	156293	157146	3
1	157519	158793	3
1	159195	161329	3
1	161785	163128	3
1	163464	166147	3
1	166435	167373	3
1	167481	168579	3
1	169309	170981	3
1	171533	171901	2
1	172284	174201	3
1	174724	175646	3
1	176045	177035	2
1	177526	178842	3
1	179416	183359	3
1	184124	184678	2
1	189540	192073	3
1	192775	193726	3
1	195354	197334	3
1	198204	198562	2
1	199237	201104	3
1	201595	204477	3
1	205679	208217	3
1	208637	209249	3
1	209616	211918	3
1	212671	213106	2
1	213663	216289	3
1	217127	221283	3
1	223666	224471	3
1	225553	227173	3
1	227668	230931	3
1	231171	232268	3
1	232497	235528	3
1	236468	239635	3
1	239849	240689	3
1	241069	243338	3
1	243901	246004	3
1	246562	247967	3
1	248277	249563	3
1	249911	251673	2
1	253477	255298	3
1	256068	256587	3
1	256918	259695	2
1	261284	262585	3
1	262741	266546	3
1	266960	268584	3
1	268908	271370	3
1	273828	275035	3
1	275159	278008	3
1	278316	280318	3
1	280895	281839	2
1	282193	283788	3
1	284020	284963	3
1	285900	289437	3
1	289827	291138	3
1	292161	296404	3
1	297450	299290	3
1	299390	300947	3
1	301257	301644	3
1	301892	304135	3
1	304330	306758	3
1	306814	308717	2
1	309263	312055	2
1	312399	313780	3
1	315062	315995	3
1	316910	318851	3
1	319111	319753	3
1	319921	320589	3
1	320759	321743	3
1	322147	323820	3
1	324831	326898	2
1	329032	330136	2
1	330809	332753	2
1	335371	337713	2
1	338300	339303	2
1	340497	341128	2
1	341691	343375	2
1	345834	349641	2
1	350878	352468	2
1	355366	357917	2
1	358450	360202	2
1	360607	362888	2
1	364007	364778	2
1	365089	367684	2
1	367933	368460	2
1	368617	372320	2
1	372879	374191	2
1	374562	375756	2
1	376484	377931	2
1	379231	380739	2
1	381090	382594	2
1	383255	385930	2
1	386985	389131	2
1	389311	390317	2
1	390827	392247	2
1	392385	394078	2
1	394475	402699	2
1	403088	409443	3
1	410811	411280	3
1	411942	415147	3
1	415522	418293	3
1	418484	420087	3
1	420363	421500	3
1	422289	424170	3
1	425088	425763	3
1	427610	431302	3
1	432455	432908	3
1	433038	435353	3
1	435867	436120	3
1	436420	437837	3
1	437993	439360	3
1	439856	441268	3
1	442899	446300	3
1	447028	448723	2
1	450187	451450	3
1	452496	454578	3
1	454911	457075	3
1	457312	459243	3
1	459957	462704	3
1	463028	464435	3
