1305	AF293|CM000169.1_3816219_3818225	AF10|AFXL01000032.1_131328_133334	AF210|AFXM01000301.1_98324_100330	A1163|DS499594.1_3884090_3886096	Z5|KQ087359.1_992938_994944	RP2014|JHOI01000565.1_117711_119717	LMB35AA|MCQI02000122.1_63368_65374	JCM10253|BCGY01000005.1_1588468_1590474	ISSFT021|LWRT01000211.1_6643_8649	IF1SWF4|LWRU01000040.1_97980_99986	----------	HMRAF270|NKHT01000056.1_80694_82700
9478	AF293|CM000176.1_228900_229674	AF10|AFXL01000007.1_190873_191647	AF210|AFXM01000373.1_40259_41033	A1163|DS499600.1_1718947_1719721	Z5|KQ087367.1_1673990_1674764	RP2014|JHOI01000601.1_11235_12009	LMB35AA|MCQI02000102.1_91285_92058	----------	ISSFT021|LWRT01000033.1_223757_224531	IF1SWF4|LWRU01000186.1_168878_169652	HMRAF706|NKHS01000023.1_162817_163591	HMRAF270|NKHT01000006.1_266053_266827
8256	AF293|CM000174.1_2446909_2447703	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
6965	AF293|CM000173.1_2648001_2648399	AF10|AFXL01000019.1_78078_78476	AF210|AFXM01000246.1_39528_39926	A1163|DS499597.1_2544948_2545346	Z5|KQ087363.1_2640450_2640848	RP2014|JHOI01000481.1_40738_41136	----------	JCM10253|BCGY01000002.1_1213310_1213708	ISSFT021|LWRT01000009.1_148586_148984	IF1SWF4|LWRU01000103.1_228874_229272	HMRAF706|NKHS01000145.1_40127_40525	HMRAF270|NKHT01000062.1_107059_107457
3714	AF293|CM000171.1_1110282_1111101	AF10|AFXL01000231.1_20487_21306	AF210|AFXM01000432.1_29375_30194	A1163|DS499596.1_2922855_2923674	Z5|KQ087362.1_2995413_2996232	RP2014|JHOI01000541.1_83387_84206	LMB35AA|MCQI02000213.1_97498_98317	JCM10253|BCGY01000011.1_212647_213466	ISSFT021|LWRT01000298.1_203431_204250	IF1SWF4|LWRU01000188.1_11452_12271	----------	HMRAF270|NKHT01000093.1_1138_1957
9366	AF293|CM000175.1_1962568_1964689	AF10|AFXL01000242.1_4117_6238	AF210|AFXM01000262.1_76745_78866	----------	Z5|KQ087364.1_420385_422506	RP2014|JHOI01000428.1_16960_19081	LMB35AA|MCQI02000045.1_22445_24566	----------	----------	----------	----------	HMRAF270|NKHT01000226.1_10667_12788
10294	----------	----------	AF210|AFXM01000206.1_50859_51395	----------	Z5|KQ087362.1_2061922_2062630	----------	----------	JCM10253|BCGY01000001.1_3233321_3234153	----------	----------	----------	HMRAF270|NKHT01000036.1_137619_138191
9364	AF293|CM000175.1_1957628_1958155	----------	AF210|AFXM01000262.1_83280_83807	----------	----------	----------	----------	----------	----------	----------	----------	----------
2655	AF293|CM000170.1_2949752_2953039	----------	AF210|AFXM01000377.1_288677_291964	A1163|DS499595.1_2928510_2931797	Z5|KQ087360.1_1851301_1854587	RP2014|JHOI01000476.1_50153_53440	LMB35AA|MCQI02000228.1_261595_264882	JCM10253|BCGY01000004.1_1838378_1841665	ISSFT021|LWRT01000007.1_298810_302097	IF1SWF4|LWRU01000102.1_82015_85302	HMRAF706|NKHS01000231.1_6067_9354	HMRAF270|NKHT01000127.1_43493_46780
9361	AF293|CM000175.1_1947114_1948685	AF10|AFXL01000087.1_8375_8976	AF210|AFXM01000262.1_93249_93850	----------	Z5|KQ087364.1_405807_406408	RP2014|JHOI01000428.1_4339_4940	LMB35AA|MCQI02000045.1_9824_10425	----------	----------	----------	----------	HMRAF270|NKHT01000226.1_25330_26904
10699	----------	----------	----------	----------	Z5|KQ087367.1_31389_32090	----------	----------	----------	----------	----------	----------	----------
