CHR	START	END	POSCOLOR
1	4411	4720	2
1	8599	8908	2
1	10717	11482	2
1	12162	13698	3
1	14122	14917	2
1	15594	16113	2
1	16602	17328	3
1	17472	18960	3
1	19617	21714	3
1	22269	25323	3
1	25383	27249	3
1	28288	29488	3
1	29803	31540	3
1	31841	32441	3
1	32682	33318	3
1	34101	34446	3
1	34527	35679	2
1	37850	39482	3
1	40486	41770	3
1	42604	43504	2
1	43802	45761	2
1	46802	48356	3
1	48512	49295	3
1	49297	49843	3
1	49996	50740	3
1	50808	51681	3
1	53098	54439	3
1	54839	57074	3
1	59348	62549	3
1	63201	64347	3
1	64698	66324	3
1	67842	68811	3
1	69225	70899	3
1	71150	72578	3
1	72743	73283	3
1	73579	73897	3
1	74058	75381	3
1	75575	77828	3
1	78010	78367	3
1	78643	79669	3
1	80123	81050	3
1	81232	81898	3
1	82119	84558	3
1	85082	87248	3
1	87899	89807	3
1	90098	91268	3
1	91312	93694	3
1	93969	94896	3
1	95213	96491	3
1	96815	101420	3
1	101750	103520	3
1	103867	104806	3
1	105178	106921	3
1	107127	111027	3
1	111573	112251	3
1	112790	113801	3
1	114129	115878	3
1	117318	119439	3
1	119766	122805	3
1	123065	123428	3
1	123871	125370	3
1	126793	128620	3
1	129262	130681	3
1	131415	133938	3
1	134253	134910	3
1	135656	136436	3
1	138576	140931	3
1	150606	151704	3
1	154635	155286	2
1	155442	156321	3
1	156642	157686	2
1	158724	160521	3
1	160944	162672	3
1	167076	167820	3
1	168532	169531	3
1	170157	172251	3
1	174458	176081	3
1	176324	178472	3
1	178689	179304	3
1	179822	180826	3
1	181402	185236	3
1	185509	190145	3
1	190697	191153	3
1	191446	193405	3
1	194678	197798	3
1	198220	198743	3
1	198950	199217	3
1	199318	202249	3
1	202534	203623	3
1	203944	204412	3
1	205264	206281	3
1	206476	206917	3
1	206919	207855	3
1	208284	208737	3
1	209080	210502	3
1	210871	212374	3
1	212441	212747	3
1	213634	220396	3
1	220541	222068	3
1	224666	226871	3
1	227679	229779	3
1	232867	234934	3
1	235079	235889	3
1	236086	238300	3
1	239093	240914	3
1	241115	242504	3
1	242740	244660	3
1	245205	246450	3
1	246663	247413	3
1	248815	249862	3
1	250102	251974	3
1	252038	252488	3
1	253157	254438	3
1	254620	254965	3
1	255172	257443	3
1	257920	258901	3
1	259646	261170	3
1	261361	261838	3
1	262219	263083	3
1	263481	264672	3
1	265485	267465	3
1	269374	270012	3
1	270321	271974	3
1	272376	274197	3
1	275479	276952	3
1	278224	279262	3
1	280423	280819	3
1	282436	284134	3
1	284638	287614	3
1	288032	289325	3
1	289701	290448	3
1	291846	292446	3
1	299613	301764	3
1	305310	306012	3
1	306620	308486	3
1	309121	310969	3
1	311199	312756	3
1	313160	317795	3
1	317952	318471	3
1	318928	319456	3
1	319667	323369	3
1	323649	324528	3
1	324889	325940	3
1	326430	327426	3
1	331353	332034	3
1	334642	336022	3
1	336702	341496	3
1	341930	342440	3
1	342932	343901	3
1	345561	348759	3
1	351097	353098	3
1	357078	359463	3
1	361028	362927	3
1	364171	366304	3
1	366729	367857	3
1	367935	369807	3
1	372224	375437	3
1	375834	376551	3
1	376647	378174	3
1	378468	379650	3
1	380214	380784	3
1	381540	382092	3
1	382762	383590	3
1	383752	384667	3
1	384792	386280	3
1	386599	388924	3
1	389273	390800	3
1	391249	392764	3
1	393295	394357	3
1	395586	399408	3
1	400590	401974	3
1	402265	402769	3
1	403146	403689	3
1	405748	406024	3
1	406672	408307	1
1	411339	412365	3
1	412816	413815	3
1	414092	416273	3
1	416451	417072	3
1	417080	417521	3
1	418021	420493	3
1	421266	423846	3
1	425984	426612	3
1	427842	428835	3
1	429370	430507	3
1	430509	431994	3
1	432224	433838	3
1	434414	436049	3
1	442450	444235	3
1	449255	450800	3
1	452163	454188	3
1	454863	455823	2
1	456750	457908	3
1	459296	460130	2
1	461069	462779	3
1	462851	463859	3
1	465636	467646	3
1	469115	471740	3
1	474918	475641	3
1	475898	477035	3
1	477307	478183	1
1	478631	481568	3
1	482381	483590	3
1	483697	484060	2
1	484176	484539	2
1	484848	486477	3
1	487352	487715	2
1	489331	490135	2
1	490254	492177	3
1	492590	496217	3
1	498353	498953	3
1	499216	501706	3
1	502052	503384	3
1	504153	505224	3
1	505971	511662	3
1	515596	517525	3
1	518170	519169	3
1	520058	520586	3
1	521287	521947	2
1	522614	523082	2
1	523975	524731	3
1	524843	526862	3
1	527099	527723	3
1	528028	528757	2
1	530171	531905	3
1	532405	534163	1
1	537387	539079	3
1	540000	541509	3
1	541724	542600	3
1	544055	544802	3
1	545021	549392	3
1	549496	550573	3
1	550939	552376	3
1	552860	553373	3
1	553757	554357	3
1	554579	555404	3
1	555677	558101	3
1	558923	561449	3
1	562359	562659	3
1	564257	564428	3
1	565682	567170	3
1	567441	568632	3
1	574219	575104	3
1	575480	576398	3
1	576660	579045	3
1	579749	580799	3
1	581211	581505	3
1	581843	582599	3
1	582898	583948	3
1	584331	584931	3
1	585913	588469	3
1	588901	593113	3
1	593696	595463	3
1	598017	599730	3
1	600682	602719	3
1	603132	603732	3
1	604675	605539	3
1	605727	606483	3
1	607151	607523	3
1	607809	609984	3
1	610207	611635	3
1	611933	613043	3
1	613108	614473	3
1	614703	615219	3
1	615466	615841	3
1	615941	617726	3
1	618378	619641	3
1	620102	621128	3
1	622224	623538	3
1	628045	629803	1
1	630192	630510	3
1	631016	631622	2
1	632082	632835	2
1	633765	634521	2
1	635103	638256	2
1	638339	638966	3
1	639145	641560	3
1	641964	642642	3
1	643225	643993	3
1	645311	649547	3
1	650437	650953	3
1	651901	653131	3
1	653449	655201	3
1	655797	656271	3
1	656448	657201	3
1	657574	658543	3
1	658806	660771	3
1	660928	661789	3
1	662179	664336	1
1	668765	671960	3
1	672485	673838	3
1	675076	675868	3
1	677398	679090	3
1	679784	680207	3
1	680244	681462	3
1	681643	683677	3
1	683900	685102	3
1	685411	686341	3
1	686627	688508	3
1	688619	690020	3
1	690479	691613	3
1	691823	693329	3
1	694145	695732	3
1	696021	696900	3
1	697532	699398	3
1	701715	705945	1
1	706487	708374	3
1	709460	712124	3
1	712966	714241	3
1	715540	717487	3
1	717685	718507	3
1	719612	720665	3
1	721117	722551	3
1	723116	726743	3
1	727116	730086	3
1	731031	732438	3
1	732770	735644	3
1	736790	737669	3
1	738228	738849	3
1	739137	739680	3
1	740587	742030	3
1	742219	743981	3
1	744050	744458	3
1	744893	746333	3
1	746722	747754	3
1	749094	749190	3
1	749582	750407	3
1	750535	751084	3
1	751389	752110	1
1	752774	756311	3
1	756363	757074	3
1	757291	757795	3
1	758283	758520	3
1	758555	759638	3
1	761415	764850	3
1	765464	766514	3
1	767069	770930	3
1	774001	775771	2
1	776732	778577	3
1	781111	783952	3
1	784460	785009	3
1	785089	786874	3
1	788417	790139	3
1	790366	793585	3
1	795545	796823	3
1	797156	798086	3
1	798183	799359	3
1	801726	802833	3
1	803004	803994	3
1	804197	804464	2
1	806468	811433	3
1	813871	815560	3
1	820904	821264	2
1	823542	824610	1
1	825307	825820	3
1	825921	827970	3
1	828498	830040	3
1	830272	831778	3
1	832110	832617	3
1	833229	833766	2
1	834231	836838	2
1	838230	838755	3
1	839277	840201	3
1	840361	841801	3
1	842770	843802	1
1	844772	845783	3
1	846648	848742	3
1	848810	850970	3
1	851798	852227	3
1	853942	855706	2
1	855859	856960	3
1	857250	857892	3
1	857908	859393	2
1	859623	860469	3
1	862033	862948	2
1	863015	864074	1
1	864121	866668	3
1	867379	868411	1
1	868505	869087	3
1	869425	870325	2
1	870673	871066	3
1	871930	872320	3
1	872594	873764	3
1	874584	875391	3
1	876394	877669	3
1	878744	879311	3
1	879635	880613	3
1	880940	881257	2
1	882165	882575	1
1	882921	884154	3
1	884552	885734	3
1	886012	888040	3
1	890375	892310	3
1	892912	893674	3
1	895091	895874	3
1	897941	899549	3
1	899994	900945	3
1	901562	903929	3
1	905276	905525	3
1	905960	906560	3
1	907131	908073	3
1	908572	910795	3
1	911111	914328	3
1	914541	915072	3
1	915267	916104	3
1	916800	917166	3
1	917493	918323	2
1	918747	919554	3
1	920169	920688	3
1	921717	925908	3
1	926874	927993	3
1	929090	930740	3
1	931182	932619	3
1	932756	933831	3
1	934149	935706	3
1	936080	938918	3
1	939164	939464	3
1	940012	941743	3
1	941948	943343	3
1	943642	944467	3
1	946250	946436	3
1	947539	948574	3
1	949328	951468	3
1	952319	954047	3
1	954198	957687	3
1	958784	960743	3
1	961929	964104	3
1	965165	970604	3
1	970916	972155	3
1	973479	974403	3
1	974967	976872	3
1	977201	979934	3
1	980594	981179	3
1	982169	982388	2
1	982547	983831	3
1	984728	985772	3
1	986262	987444	3
1	987527	990488	3
1	991624	992782	3
1	994379	997034	3
1	997296	997968	3
1	998120	1000229	3
1	1001616	1003740	3
1	1003916	1004285	3
1	1004468	1007276	3
1	1007446	1007815	3
1	1008954	1011522	3
1	1012990	1014754	3
1	1015099	1015459	3
1	1015785	1016973	3
1	1017680	1019969	3
1	1020128	1021085	2
1	1021669	1022368	2
1	1023217	1023751	2
1	1028273	1032458	3
1	1033846	1035829	3
1	1036803	1040892	3
1	1041966	1043523	3
1	1044364	1045495	3
1	1048308	1050270	3
1	1050454	1051426	3
1	1051996	1053736	3
1	1054106	1054799	3
1	1055315	1057673	3
1	1058029	1059175	3
1	1059230	1061885	3
1	1064008	1065733	3
1	1066116	1067229	3
1	1067543	1068344	3
1	1068525	1069635	3
1	1070514	1071792	3
1	1072058	1072877	2
1	1082623	1083889	3
1	1084952	1085183	3
1	1092616	1093810	3
1	1094681	1095959	3
1	1097144	1097528	3
