CHR	START	END	POSCOLOR
1	215	833	1
1	2150	2567	2
1	3951	4960	2
1	6894	7472	2
1	10217	11103	2
1	11450	12045	2
1	13021	13740	2
1	13957	14538	2
1	14882	15500	2
1	19691	20033	2
1	25441	27014	1
1	29597	29978	2
1	30279	30779	1
1	31559	32322	2
1	36281	37475	1
1	38163	39570	2
1	42470	44122	2
1	44284	44868	2
1	47312	49190	3
1	55778	58055	2
1	59273	59752	2
1	60107	60564	2
1	60911	63246	2
1	73192	73705	2
1	74433	76328	2
1	82145	83012	2
1	84233	85698	1
1	87063	87897	2
1	88948	89188	2
1	90837	91227	2
1	94950	96601	2
1	98962	99480	2
1	102945	103384	2
1	117405	118520	2
1	118897	120219	2
1	123715	124299	2
1	128568	129180	2
1	129725	134100	1
1	135527	137778	1
1	138361	140093	1
1	143116	144463	2
1	145247	146969	1
1	148614	150216	1
1	150775	151994	2
1	153029	154645	2
1	155570	156782	1
1	158013	160060	1
1	160404	163018	2
1	164103	164771	2
1	168703	170028	2
1	177113	178590	2
1	180589	181624	1
1	183102	184079	2
1	184789	186472	1
1	187844	190955	1
1	195961	198158	1
1	199229	202415	2
1	210665	211854	2
1	215583	217003	1
1	218160	219426	2
1	221862	222075	2
1	237385	237712	2
1	238507	243051	2
1	243919	244896	2
1	246877	247620	2
1	249318	251347	1
1	268870	270616	1
1	271233	271587	2
1	277012	277938	2
1	287039	291287	2
1	296635	297869	1
1	306046	306847	1
1	307830	308409	2
1	309460	309805	2
1	310236	313084	1
1	315348	315714	1
1	328784	330271	2
1	331678	332955	2
1	333682	334714	2
1	336864	337904	2
1	339357	342000	2
1	342455	344153	1
1	344955	346143	1
1	347634	348512	2
1	349734	351003	1
1	353202	358952	1
1	370904	375565	1
1	379677	381627	2
1	382402	383350	2
1	385304	386244	2
1	390763	391294	2
1	391425	391941	2
1	394865	395585	2
1	400776	401588	2
1	402758	403563	1
1	404881	405532	3
1	405930	406686	3
1	410235	410723	3
1	411329	411713	3
1	412779	414594	3
1	417269	418549	3
1	419160	420430	3
1	420903	421404	3
1	421824	423071	3
1	423560	425417	3
1	426186	428730	3
1	428896	430700	3
1	431131	433090	3
1	435614	436155	3
1	436428	437708	2
1	438179	439145	2
1	439335	440418	3
1	441785	443027	3
1	443053	444743	3
1	444991	446455	3
1	446909	447833	3
1	448197	449745	3
1	450254	450872	3
1	451138	451861	3
1	452054	452773	2
1	453034	453946	3
1	454912	456094	3
1	456375	456573	3
1	457494	459371	3
1	460307	460627	3
1	460990	462481	3
1	463161	464939	3
1	465833	466066	3
1	467132	468544	3
1	468981	469782	3
1	471049	473203	3
1	475986	481951	3
1	482367	482931	3
1	483278	483968	3
1	486111	486693	3
1	486859	488384	3
1	489567	490644	3
1	492488	494418	3
1	494891	496042	2
1	497180	497333	3
1	497341	499907	3
1	500805	502611	3
1	503946	504957	3
1	506340	509273	3
1	510077	511213	3
1	511962	513333	3
1	513914	515284	3
1	515888	517968	3
1	518023	519574	3
1	520193	521397	1
1	521535	523185	3
1	524157	527369	3
1	527643	527916	3
1	528069	531564	3
1	533239	534765	3
1	538462	540468	3
1	541114	542061	3
1	543901	544867	3
1	545309	546457	3
1	546740	547403	3
1	547681	549586	3
1	550633	551963	3
1	553170	554199	3
1	554340	557094	3
1	557959	559081	3
1	559786	560596	3
1	560928	562026	3
1	562609	563353	3
1	564444	565722	3
1	568451	569877	1
1	571078	572717	1
1	573080	574418	3
1	577541	578089	3
1	579131	580202	3
1	586991	588243	3
1	589650	590266	3
1	590440	592107	3
1	592367	595220	3
1	595637	598126	3
1	598909	599992	3
1	600838	603260	3
1	603589	604435	2
1	605158	607948	3
1	608893	610632	3
1	611101	612420	3
1	612888	614055	3
1	614414	615606	3
1	616952	621315	3
1	622017	623261	3
1	624470	626594	3
1	629245	631922	3
1	632301	637193	3
1	638035	639411	3
1	639719	640771	3
1	641328	643530	3
1	643903	647809	3
1	648792	649522	3
1	650907	651978	3
1	652795	653923	3
1	654912	655478	3
1	656094	656708	3
1	657848	658664	3
1	659965	660690	3
1	661445	662076	3
1	662921	663497	3
1	664031	666424	3
1	667287	669399	3
1	669935	670312	3
1	675169	675592	3
1	676136	676875	2
1	678388	679075	2
1	679652	680685	3
1	682115	683447	3
1	690077	691929	1
1	693103	694238	3
1	694799	695336	3
1	696858	698629	3
1	698940	701559	3
1	702111	703571	3
1	703910	705275	3
1	705772	706995	3
1	707694	708552	3
1	709542	711496	1
1	711909	715716	3
1	716368	719420	3
1	720631	722625	3
1	722804	724591	3
1	725526	729361	3
1	736091	736437	3
1	737368	739005	1
1	739487	743454	3
1	744585	746335	3
1	747309	748114	3
1	748598	751439	3
1	752757	753774	3
1	754868	757007	3
1	757998	758754	3
1	761927	763037	2
1	763380	763989	3
1	764136	765830	3
1	768207	769408	2
1	769849	771547	3
1	772561	773356	3
1	775675	776882	3
1	777001	780157	3
1	781232	782522	3
1	783418	784987	3
1	785214	786103	3
1	788251	789373	3
1	790044	791488	2
1	791702	792366	2
1	795095	797420	3
1	800202	801366	2
1	802461	803660	3
1	804383	805739	3
1	807986	808748	3
1	809704	810500	3
1	811362	813528	3
1	814522	815977	3
1	817834	818697	1
1	820660	821482	2
1	822528	823728	2
1	828469	829661	3
1	829951	830815	3
1	830979	832156	3
1	833710	834862	3
1	835394	837855	3
1	839864	840613	3
1	841244	842765	3
1	843298	844729	3
1	845227	845455	3
1	847118	848456	3
1	854825	855620	3
1	856245	858167	3
1	860185	863741	3
1	864408	866079	3
1	866376	869019	3
1	871247	874635	3
1	875095	875824	3
1	876727	877409	3
1	878845	882243	3
1	882422	883669	3
1	884050	884651	3
1	884974	887622	3
1	887922	889488	2
1	891234	892884	3
1	893295	894749	3
1	895078	895958	3
1	897114	897571	3
1	898107	899647	3
1	899973	901471	3
1	903121	905143	3
1	905913	907511	3
1	908916	909594	3
1	910843	913872	2
1	917956	918565	1
1	920343	921675	3
1	924308	927842	2
1	931343	932035	3
1	932978	933920	2
1	943146	943612	2
1	943891	944293	3
1	944466	944700	2
1	946149	946983	1
1	947203	949046	3
1	949549	950595	1
1	952522	952984	2
1	953715	954865	1
1	954937	955270	3
1	956480	958092	3
1	958406	958685	3
1	960956	962024	3
1	966370	966942	1
1	968824	972125	2
1	973907	974788	3
1	975393	977403	3
1	978460	983547	3
1	987680	988333	3
1	988827	991451	3
1	992172	993782	3
1	994671	995477	3
1	995832	996800	3
1	997415	998550	3
1	999738	1002261	3
1	1002951	1004086	3
1	1004789	1005101	3
1	1005386	1006058	2
1	1008178	1009452	2
1	1010512	1013940	3
1	1014394	1015673	3
1	1016400	1018098	3
1	1018510	1021065	3
1	1021962	1024249	3
1	1025680	1027375	3
1	1028330	1029898	3
1	1031630	1033084	3
1	1033473	1034358	3
1	1034730	1038219	3
1	1039808	1041167	3
1	1043355	1044330	3
1	1052528	1054198	3
1	1056978	1057728	3
1	1058378	1058776	2
1	1059133	1061805	2
1	1064069	1065230	3
1	1065658	1066072	3
1	1068191	1069766	3
1	1070998	1071553	3
1	1073286	1075890	3
1	1076798	1078230	3
1	1078972	1079501	3
1	1079941	1081418	3
1	1082724	1085180	3
1	1085758	1087379	3
1	1088234	1091655	3
1	1094471	1094805	3
1	1095867	1096794	3
1	1097188	1098241	2
1	1103293	1104227	1
1	1105632	1108153	3
1	1108754	1109548	3
1	1109891	1112697	3
1	1113183	1113711	3
1	1116017	1117193	3
1	1118111	1120564	3
1	1121205	1122588	3
1	1122793	1124014	3
1	1124303	1125848	3
1	1126792	1128193	3
1	1128635	1131716	3
1	1132176	1136061	3
1	1136232	1138547	3
1	1140159	1141883	1
1	1143211	1143956	2
1	1144573	1147911	3
1	1148614	1152696	3
1	1153875	1155233	3
1	1155560	1156615	3
1	1156986	1157840	3
1	1158288	1160367	3
