CHR	START	END	POSCOLOR	PHENOTYPE
1	1807	2169	2	viable
1	2479	2704	2	viable
1	7237	9016	2	viable
1	11567	11951	2	viable
1	12045	12423	2	N/A
1	13365	13743	2	viable
1	21565	21847	2	N/A
1	22397	22685	2	N/A
1	24002	27968	2	N/A
1	31566	32937	3	viable
1	33447	34698	3	viable
1	35154	36300	3	viable
1	36508	37144	3	viable
1	37463	38969	3	viable
1	39258	41898	3	viable
1	42176	42716	3	viable
1	42883	45022	3	viable
1	45898	48247	3	viable
1	48563	51704	3	viable
1	51857	52595	3	viable
1	52803	54789	2	viable
1	54991	56857	3	viable
1	57031	57385	3	viable
1	57517	57847	3	N/A
1	57952	58462	3	viable
1	58697	61052	3	inviable
1	61315	62560	3	viable
1	62839	65401	3	inviable
1	65780	67520	3	viable
1	68718	69525	3	viable
1	71785	73285	3	inviable
1	73428	73518	2	N/A
1	74019	74820	3	viable
1	75045	76152	3	viable
1	76426	79432	3	viable
1	79717	80584	3	inviable
1	80712	81951	3	viable
1	82705	83224	3	inviable
1	83337	84474	3	inviable
1	84751	87031	3	viable
1	87285	87749	3	N/A
1	87857	92270	3	viable
1	92899	94483	3	viable
1	94686	95469	3	viable
1	95632	99697	3	viable
1	100227	101145	3	inviable
1	101567	105872	3	N/A
1	106274	108551	3	viable
1	108879	110430	3	viable
1	110848	113359	3	viable
1	113616	114615	3	viable
1	114918	118311	3	viable
1	118566	119541	3	viable
1	120224	124292	3	viable
1	124878	126783	3	viable
1	126905	128102	3	viable
1	128254	129019	3	viable
1	129269	130484	3	viable
1	130798	131980	3	viable
1	132198	134073	3	viable
1	134186	135665	3	viable
1	135853	136630	3	viable
1	136913	137507	3	viable
1	137700	138345	3	viable
1	139505	141431	3	viable
1	142173	143157	2	inviable
1	143706	147528	2	viable
1	147596	151166	2	inviable
1	152256	153873	2	viable
1	154067	154724	2	viable
1	155004	156282	2	viable
1	156756	158619	2	inviable
1	158965	159790	2	inviable
1	160599	164187	2	N/A
1	166744	168871	2	viable
1	169374	170292	2	viable
1	170398	171703	2	viable
1	172213	175135	2	inviable
1	176655	177023	2	N/A
1	179283	179820	2	viable
1	183769	184474	2	viable
1	184891	185593	2	viable
1	186320	186542	2	viable
1	186835	187729	2	viable
1	188106	188808	2	N/A
1	190192	192253	3	viable
1	192339	192417	2	N/A
1	192618	196182	3	viable
1	203402	208013	2	viable
1	217157	217492	2	N/A
1	218549	219145	2	N/A
1	220197	220494	2	N/A
1	222405	222888	2	N/A
1	225459	226860	2	N/A
2	282	2658	2	N/A
2	2909	5009	2	N/A
2	9963	10551	3	viable
2	10849	13879	3	viable
2	14243	17696	3	inviable
2	18179	21293	3	viable
2	22078	23536	3	viable
2	24097	24742	3	viable
2	24948	28299	3	viable
2	28426	28543	2	viable
2	29934	35245	2	N/A
2	37052	38687	3	viable
2	39144	40524	3	viable
2	40830	43092	3	inviable
2	43276	44086	3	viable
2	44258	44918	3	viable
2	45977	46367	3	inviable
2	46567	47180	3	viable
2	47365	48628	3	viable
2	48824	49355	3	viable
2	49573	50950	3	viable
2	51021	59382	3	viable
2	59822	60169	2	N/A
2	61204	62602	3	viable
2	63875	66815	3	viable
2	67171	69445	2	inviable
2	69753	71127	3	viable
2	71865	72969	3	viable
2	73072	74695	3	viable
2	75258	79764	3	viable
2	80380	80731	3	viable
2	81045	84261	3	inviable
2	84501	86448	3	viable
2	86724	87789	3	inviable
