CHR	POS	END	PHENOTYPE
1	1380646	1380717	tRNA
1	1380814	1380885	tRNA
1	1387319	1387248	tRNA
1	1461859	1461966	tRNA
1	1609041	1608961	tRNA
1	1609608	1609688	tRNA
1	1651256	1651326	tRNA
1	2279068	2278997	tRNA
1	2280625	2280554	tRNA
1	2281487	2281558	tRNA
1	2282077	2282148	tRNA
1	2282224	2282295	tRNA
1	2425454	2425374	tRNA
1	2425996	2425916	tRNA
1	2426522	2426602	tRNA
1	2727249	2727336	tRNA
1	2907410	2907480	tRNA
1	3107447	3107536	tRNA
1	3698876	3698805	tRNA
1	3759573	3759657	tRNA
1	3760089	3760173	tRNA
1	3760797	3760713	tRNA
1	3761229	3761145	tRNA
1	3761792	3761708	tRNA
1	3802349	3802437	tRNA
1	3909273	3909368	tRNA
1	4157779	4157850	tRNA
1	4333677	4333579	tRNA
1	4489501	4489430	tRNA
1	766126	766213	tRNA
1	767355	767268	tRNA
1	917096	917192	tRNA
2	1301238	1301318	tRNA
2	1301538	1301452	tRNA
2	143028	142956	tRNA
2	1651778	1651707	tRNA
2	1690720	1690648	tRNA
2	1691252	1691180	tRNA
2	1691910	1691982	tRNA
2	2412040	2411928	tRNA
2	2549659	2549760	tRNA
2	2619690	2619761	tRNA
2	2993063	2993134	tRNA
2	3631828	3631730	tRNA
2	3830452	3830564	tRNA
2	4182833	4182761	tRNA
2	4365718	4365828	tRNA
2	4499891	4499962	tRNA
2	463802	463882	tRNA
2	465305	465235	tRNA
2	4667063	4666951	tRNA
2	4722132	4722238	tRNA
2	87180	87109	tRNA
2	934042	933971	tRNA
2	935026	935097	tRNA
2	937016	936945	tRNA
2	937478	937549	tRNA
3	108846	108919	tRNA
3	1149267	1149195	tRNA
3	1149522	1149451	tRNA
3	115480	115567	tRNA
3	163221	163293	tRNA
3	179048	178975	tRNA
3	2145343	2145455	tRNA
3	2210063	2210170	tRNA
3	2342082	2342153	tRNA
3	2345014	2345085	tRNA
3	2792050	2791977	tRNA
3	2793260	2793333	tRNA
3	2793697	2793770	tRNA
3	289763	289692	tRNA
3	3556767	3556837	tRNA
3	3571414	3571342	tRNA
3	3583456	3583528	tRNA
3	395422	395493	tRNA
3	401933	401862	tRNA
3	493923	493852	tRNA
3	531049	531120	tRNA
3	577205	577117	tRNA
3	741446	741375	tRNA
3	821186	821257	tRNA
3	900660	900573	tRNA
3	979297	979210	tRNA
4	1216639	1216552	tRNA
4	1820549	1820476	tRNA
4	2004483	2004555	tRNA
4	2311493	2311407	tRNA
4	2412605	2412535	tRNA
4	2413675	2413747	tRNA
4	3460188	3460075	tRNA
4	3460460	3460573	tRNA
4	3473570	3473653	tRNA
4	3653662	3653732	tRNA
4	420996	421076	tRNA
4	725994	725907	tRNA
4	916518	916431	tRNA
5	1440395	1440499	tRNA
5	1440602	1440673	tRNA
5	1723131	1723060	tRNA
5	1723332	1723403	tRNA
5	1903658	1903588	tRNA
5	2114322	2114394	tRNA
5	2535907	2535978	tRNA
5	2538092	2538021	tRNA
5	2538536	2538465	tRNA
5	2557308	2557378	tRNA
5	2561769	2561698	tRNA
5	2565008	2564938	tRNA
5	2570024	2569912	tRNA
5	2654429	2654358	tRNA
5	2687508	2687436	tRNA
5	2691226	2691096	tRNA
5	3086241	3086311	tRNA
5	3169547	3169460	tRNA
5	3169866	3169779	tRNA
5	3171825	3171912	tRNA
5	3171999	3172086	tRNA
5	3206972	3207043	tRNA
5	3207244	3207315	tRNA
5	3207575	3207646	tRNA
5	3208340	3208269	tRNA
5	3208796	3208725	tRNA
5	321680	321610	tRNA
5	3372970	3373059	tRNA
5	3373659	3373563	tRNA
5	3374293	3374204	tRNA
5	3374656	3374565	tRNA
5	3575251	3575180	tRNA
5	3703632	3703727	tRNA
5	883190	883272	tRNA
5	883581	883709	tRNA
6	126214	126287	tRNA
6	1574776	1574860	tRNA
6	2164940	2164868	tRNA
6	2165147	2165219	tRNA
6	248352	248435	tRNA
6	3140471	3140558	tRNA
6	3400535	3400425	tRNA
6	3401235	3401345	tRNA
6	3438601	3438530	tRNA
6	3477652	3477722	tRNA
6	3587601	3587672	tRNA
6	490809	490721	tRNA
6	596224	596153	tRNA
6	617113	617210	tRNA
6	713999	713928	tRNA
6	847831	847760	tRNA
6	874333	874413	tRNA
7	103767	103840	tRNA
7	114031	114102	tRNA
7	1156256	1156327	tRNA
7	133143	133017	tRNA
7	133533	133629	tRNA
7	220338	220409	tRNA
7	631929	631857	tRNA
7	632409	632337	tRNA
7	632559	632487	tRNA
7	689334	689419	tRNA
7	817375	817263	tRNA
7	87486	87376	tRNA
7	994880	994809	tRNA
8	1009806	1009879	tRNA
8	1010165	1010238	tRNA
8	1011735	1011808	tRNA
8	1016439	1016512	tRNA
8	1023658	1023746	tRNA
8	1106893	1106808	tRNA
8	1315335	1315262	tRNA
8	1409471	1409558	tRNA
8	1422869	1422953	tRNA
8	1428297	1428368	tRNA
8	1434776	1434703	tRNA
8	1618840	1618770	tRNA
8	1674926	1674997	tRNA
8	1756466	1756578	tRNA
8	648049	647970	tRNA
8	665850	665780	tRNA
8	970558	970485	tRNA
