CHR	START	END	POSCOLOR	PHENOTYPE
1	58697	61052	3	inviable
1	62839	65401	3	inviable
1	71785	73285	3	inviable
1	79717	80584	3	inviable
1	82705	83224	3	inviable
1	83337	84474	3	inviable
1	100227	101145	3	inviable
1	142173	143157	2	inviable
1	147596	151166	2	inviable
1	156756	158619	2	inviable
1	158965	159790	2	inviable
1	172213	175135	2	inviable
2	14243	17696	3	inviable
2	40830	43092	3	inviable
2	45977	46367	3	inviable
2	67171	69445	2	inviable
2	81045	84261	3	inviable
2	86724	87789	3	inviable
2	141246	141969	3	inviable
2	142114	142868	3	inviable
2	151495	153610	3	inviable
2	153850	158389	3	inviable
2	163043	163997	3	inviable
2	170622	171035	3	inviable
2	174922	177526	3	inviable
2	182400	184122	3	inviable
2	186000	186474	3	inviable
2	199066	201748	3	inviable
2	227635	235114	3	inviable
2	241710	242568	3	inviable
2	244368	245667	3	inviable
2	257114	257975	3	inviable
2	296371	297742	3	inviable
2	311897	314786	3	inviable
2	334388	336818	3	inviable
2	344604	347301	3	inviable
2	360654	362514	2	inviable
2	379223	379934	3	inviable
2	395385	398277	3	inviable
2	398616	400890	3	inviable
2	423764	424826	3	inviable
2	424992	425766	3	inviable
2	427157	427484	3	inviable
2	445064	447323	3	inviable
2	457921	458362	3	inviable
2	458871	460218	3	inviable
2	481366	483367	3	inviable
2	484744	486691	3	inviable
2	504853	505303	3	inviable
2	505667	512771	3	inviable
2	517352	526628	3	inviable
2	528316	530635	3	inviable
2	530871	532182	3	inviable
2	546375	547248	3	inviable
2	547459	548191	3	inviable
2	548364	549009	3	inviable
2	549770	550925	3	inviable
2	560077	560971	3	inviable
2	571470	571890	3	inviable
2	607651	608782	3	inviable
2	609084	609753	3	inviable
2	612238	613900	3	inviable
2	616129	618523	3	inviable
2	625771	628306	3	inviable
2	646160	647132	3	inviable
2	684976	685258	3	inviable
2	685440	686592	3	inviable
2	690385	691693	3	inviable
2	691968	694515	3	inviable
2	705449	706793	3	inviable
2	713006	714455	3	inviable
2	722610	723051	3	inviable
2	723269	723632	3	inviable
2	723738	724263	3	inviable
2	727388	728102	3	inviable
2	728884	729721	3	inviable
2	738581	739541	3	inviable
3	22431	23379	3	inviable
3	31448	33971	3	inviable
3	34145	35393	3	inviable
3	48655	50221	3	inviable
3	64677	65568	3	inviable
3	92779	94270	3	inviable
3	109104	110667	3	inviable
3	137745	138993	3	inviable
3	191836	193018	3	inviable
3	214993	216442	3	inviable
3	218378	220067	3	inviable
3	220459	223228	3	inviable
3	240807	242352	3	inviable
3	280116	286440	3	inviable
4	33417	33918	3	inviable
4	62246	65018	3	inviable
4	67985	68606	2	inviable
4	78425	79055	3	inviable
4	86209	87226	3	inviable
4	87511	87979	3	inviable
4	88247	89861	3	inviable
